fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.48819,0.01071,0.01129,0.87107,0.00033,3.34264,0.65812,7.9465,0.47935,1.81735,0.01406,0.70899,0.3894,0.0,0.09218,0.38755,0.0,0.0,0.0,0.46296,0.0,1.0,0.0,0.0
0.4772,0.0103,0.01129,0.89573,0.00033,3.34264,0.62324,7.9465,0.5196,1.81735,0.01443,0.70899,0.43581,0.0,0.08867,0.36857,0.0,0.0,0.0,0.42167,0.0,0.97085,0.0,0.0
0.47206,0.00783,0.01521,0.81795,0.0004,3.0835,0.67975,7.9465,0.42512,2.23335,0.01456,0.786,0.34441,0.0,0.09933,0.38755,0.0,0.0,0.0,0.46471,0.0,1.0,0.0,0.0
0.48965,0.00983,0.01349,0.90737,0.00044,3.05828,0.86667,7.67269,0.54455,1.87072,0.01792,0.74136,0.40315,0.0,0.08586,0.47969,0.0,0.0,0.0,0.51852,0.0,0.89488,0.0,0.0
0.48148,0.01071,0.01143,0.85021,0.00028,3.63582,0.62036,7.49484,0.45527,1.90834,0.01231,0.6376,0.39323,0.0,0.08666,0.44308,0.0,0.0,0.0,0.48425,0.0,1.0,0.0,0.0
0.47719,0.01069,0.01349,0.90744,0.00064,2.86595,0.95,8.02471,0.53763,2.46875,0.01706,0.74136,0.40315,0.0,0.07967,0.35029,0.0,0.0,0.0,0.51852,0.0,1.0,0.0,0.0
0.48471,0.00983,0.01765,0.96343,0.00036,2.28885,0.9038,8.57623,0.59798,1.82033,0.02431,0.74136,0.38992,0.0,0.08586,0.47969,0.0,0.0,0.0,0.46842,0.0,0.89488,0.0,0.0
0.48708,0.00983,0.01304,0.91729,0.00038,3.46223,0.89651,8.7924,0.56631,1.81198,0.01792,0.81509,0.38835,0.0,0.09624,0.52016,0.0,0.0,0.0,0.5577,0.0,0.89488,0.0,0.0
0.47435,0.01218,0.01129,0.89384,0.00033,3.63313,0.56194,6.62623,0.47935,1.7298,0.01406,0.5462,0.3894,0.0,0.09666,0.47955,0.0,0.0,0.0,0.46768,0.0,1.0,0.0,0.0
0.47757,0.01037,0.01005,0.88682,0.00035,3.9726,0.58217,6.09756,0.56328,1.36818,0.01418,0.72537,0.34878,0.0,0.12249,0.47218,0.0,0.0,0.0,0.45749,0.0,0.5183,0.0,0.0
0.48476,0.00952,0.00609,0.93622,0.00035,3.41295,0.58941,6.90536,0.43811,1.16958,0.02072,0.70361,0.28672,0.0,0.12169,0.47036,0.0,0.0,0.0,0.49423,0.0,0.57642,0.0,0.0
0.48574,0.00679,0.01135,0.95684,0.0004,2.79245,0.84397,8.49566,0.62595,2.3273,0.01676,0.67555,0.26406,0.0,0.09838,0.47138,0.0,0.0,0.0,0.53115,0.0,0.89488,0.0,0.0
0.47632,0.0101,0.01536,0.92115,0.00024,3.43828,0.95,7.90287,0.55932,2.07475,0.01933,0.7316,0.40347,0.0,0.11062,0.39623,0.0,0.0,0.0,0.6235,0.0,0.65099,0.0,0.0
0.48341,0.00983,0.01349,0.90719,0.00044,3.05828,0.87147,7.63156,0.55074,1.86854,0.01778,0.7469,0.40153,0.0,0.08621,0.47969,0.0,0.0,0.0,0.52555,0.0,0.89488,0.0,0.0
0.47836,0.00847,0.01124,0.894,0.00039,3.3326,0.87092,7.44682,0.60163,1.59891,0.01761,0.73092,0.40584,0.0,0.09017,0.52854,0.0,0.0,0.0,0.42066,0.0,0.90795,0.0,0.0
0.48814,0.00938,0.01443,0.90427,0.00044,3.09679,0.90975,7.50809,0.52032,1.94505,0.01721,0.74136,0.41599,0.0,0.08608,0.47563,0.0,0.0,0.0,0.47885,0.0,0.90714,0.0,0.0
0.48713,0.00983,0.01294,0.96957,0.0005,2.73605,0.90847,7.611,0.56219,1.80949,0.02242,0.69371,0.37571,0.0,0.06543,0.53626,0.0,0.0,0.0,0.58729,0.0,0.69516,0.0,0.0
